doc_id,item,category,amount,price,discount
4FBHM72,Мышь,Электроника,3,1476.42,0.0
4FBHM72,Полотенце,Текстиль,1,808.72,0.0
4FBHM72,Постельное белье,Текстиль,2,2945.0,0.0
4FBHM72,Наушники,Электроника,2,1077.87,0.0
4FBHM72,Порошок стиральный,Бытовая химия,3,191.63,37.43
XHH00M6,Яблоки,Продукты,2,177.11,0.0
XHH00M6,Постельное белье,Текстиль,5,1774.08,214.37
XHH00M6,Полотенце,Текстиль,5,650.57,0.0
XPGCI0M,Нож,Посуда,3,2342.5,0.0
XPGCI0M,Яблоки,Продукты,5,114.85,0.0
XPGCI0M,Полотенце,Текстиль,4,1603.14,0.0
J58I345,Зарядное устройство,Электроника,1,1737.7,430.79
J58I345,Клавиатура,Электроника,1,1012.72,69.21
J58I345,Хлеб,Продукты,5,337.27,17.59
GC25G1Z,Тарелка,Посуда,4,700.01,111.7
GC25G1Z,Мыло,Бытовая химия,2,210.55,0.0
GC25G1Z,Тарелка,Посуда,3,1070.95,0.0
S26WX2P,Средство для мытья посуды,Бытовая химия,3,151.65,9.53
S26WX2P,Порошок стиральный,Бытовая химия,5,230.27,47.74
S26WX2P,Чашка,Посуда,4,1279.24,0.0
5J3G2VZ,Мыло,Бытовая химия,2,112.97,0.0
5J3G2VZ,Мышь,Электроника,3,1968.19,520.76
5J3G2VZ,Тарелка,Посуда,3,2477.88,655.9
II288R1,Нож,Посуда,5,843.92,0.0
II288R1,Шторы,Текстиль,5,1775.06,416.03
II288R1,Плед,Текстиль,2,2187.22,264.07
II288R1,Сковорода,Посуда,3,1701.67,0.0
JX5WGIQ,Нож,Посуда,5,1127.59,0.0
JX5WGIQ,Плед,Текстиль,4,1857.9,0.0
JX5WGIQ,Клавиатура,Электроника,2,1652.54,0.0
JC3ONA7,Наушники,Электроника,2,1410.65,242.96
JC3ONA7,Яблоки,Продукты,1,160.1,0.0
JC3ONA7,Сковорода,Посуда,2,703.42,0.0
EQ14KKR,Шторы,Текстиль,5,1835.0,544.11
EQ14KKR,Сковорода,Посуда,2,797.0,156.7
EQ14KKR,Тарелка,Посуда,5,607.3,0.0
EQ14KKR,Зарядное устройство,Электроника,2,1235.87,0.0
8B1JCIZ,Тарелка,Посуда,5,1665.2,0.0
8B1JCIZ,Мыло,Бытовая химия,5,192.73,0.0
682O7T8,Скатерть,Текстиль,5,2951.42,831.61
NNBTGGA,Молоко,Продукты,5,156.7,20.53
NNBTGGA,Хлеб,Продукты,1,293.11,54.28
NNBTGGA,Мышь,Электроника,5,1906.56,100.95
NNBTGGA,Полотенце,Текстиль,2,953.63,0.0
NNBTGGA,Мышь,Электроника,5,1578.75,103.3
OYY7FPZ,Колбаса,Продукты,1,282.55,0.0
OYY7FPZ,Тарелка,Посуда,1,630.17,46.93
OZW6IE9,Клавиатура,Электроника,2,594.0,152.71
OZW6IE9,Чашка,Посуда,5,924.22,0.0
OZW6IE9,Гель для душа,Бытовая химия,5,241.77,22.35
OZW6IE9,Яблоки,Продукты,3,328.79,0.0
216DZU4,Мыло,Бытовая химия,3,146.76,0.0
216DZU4,Яблоки,Продукты,1,119.45,0.0
216DZU4,Зарядное устройство,Электроника,1,863.19,0.0
216DZU4,Яблоки,Продукты,2,180.32,0.0
Z7WD131,Наушники,Электроника,3,537.62,0.0
Z7WD131,Мышь,Электроника,3,1904.51,0.0
Z7WD131,Хлеб,Продукты,3,104.89,0.0
Z7WD131,Порошок стиральный,Бытовая химия,3,192.49,0.0
Z7WD131,Яблоки,Продукты,3,155.44,0.0
5CQD722,Порошок стиральный,Бытовая химия,5,280.66,0.0
U8T1OA9,Скатерть,Текстиль,5,2056.31,193.98
U8T1OA9,Хлеб,Продукты,3,139.49,0.0
U8T1OA9,Мышь,Электроника,3,1694.16,0.0
1LRRH8I,Хлеб,Продукты,1,325.28,26.09
1LRRH8I,Шампунь,Бытовая химия,3,174.86,0.0
1LRRH8I,Яблоки,Продукты,4,259.72,0.0
1LRRH8I,Порошок стиральный,Бытовая химия,4,201.4,55.86
1LRRH8I,Сыр,Продукты,1,300.22,45.21
KIXFDWJ,Сковорода,Посуда,1,1914.92,0.0
KIXFDWJ,Чашка,Посуда,4,363.42,0.0
PNY4LQS,Шампунь,Бытовая химия,2,234.82,0.0
PNY4LQS,Клавиатура,Электроника,2,1799.38,0.0
PNY4LQS,Плед,Текстиль,3,2506.99,496.7
PNY4LQS,Зарядное устройство,Электроника,3,1401.83,200.15
PNY4LQS,Хлеб,Продукты,3,245.83,23.39
P2KEOHX,Шампунь,Бытовая химия,3,255.35,0.0
ZIU04E0,Зарядное устройство,Электроника,2,1640.96,0.0
